barcode,collector,overflow_capacity,last_reading_date,tank_type_label,tank_type_id,nominal_capacity,container_type_label,tank_name,key_maker,container_type_id,tank_status_label,current_volume,id,tank_status_id,fill_level
2022-F.W-00014,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:31:27,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Vitoria,43e7992e10a2f2d05672ddd7a148626d,18,En service,32.50,9aea80fc60e35f84cfeb04d49710ccec,3001,39.16
2022-F.W-00002,18435351e5ed4efccfbbb896d5e80925,103.00,2024-02-01 07:56:23,Cuve fixe (maker),3275,91.00,Type 2 - 100 litres - Inox,Maria,8421a998433c0477d86bd489f2fe9160,147,En service,0.00,e3ba3fc69a308d3dddc14c1a696d0a38,3001,0.00
2022-F.W-00019,18435351e5ed4efccfbbb896d5e80925,83.00,2023-10-02 09:52:06,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Alleya,ff0255f07994c081d1145b9acb4de104,18,En service,3.52,866a74a58479077801038549ef1e8411,3001,4.24
2022-F.W-00038,18435351e5ed4efccfbbb896d5e80925,83.00,2023-09-14 10:06:03,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Lalak,84ff688efa6250e3a0989d4cc7aa0daa,18,En service,30.75,cef2eb7271cf483d308ce2766eae246d,3001,37.05
2022-F.W-00021,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 14:51:54,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Andréa,7f2c859d2b5af2664837b2b1946f5ed9,18,En service,44.16,eb545dda357f16d537e2cbafcd5e98e2,3001,53.20
2022-F.W-00210,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:40:37,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Meidi,e420c4d794b2ea988a6eb3565a9e72d5,18,En service,45.97,745ceefd484f5dc4713f708f02c2480f,3001,55.39
2022-F.W-00081,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-29 23:12:09,,0,70.00,Type 4 - 83 litres - Plastique,Rodolphe,fc67184a1e186ff8f71ab47161cb9347,18,En service,65.05,8fdba7fd4996f5d6a19b6bc9367b273d,3001,78.37
2022-F.W-00060,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 16:17:33,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Oya,a75eb75690ffa75c75a2691e1ecd719f,18,En service,52.68,2cff268472acef9320403167cc03b650,3001,63.47
2022-F.W-00064,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 10:31:45,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,René,b8bff6f667af11c07ea147d216133691,18,En service,24.96,88dceb9c0364326b558d9c014e1f8105,3001,30.07
2022-F.W-00030,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 15:00:29,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Expox,bffbe22a70facb899791cb57d3b4d342,18,En service,50.32,2deb44350db6d37703f33fc1eff37320,3001,60.63
2022-F.W-00010,18435351e5ed4efccfbbb896d5e80925,103.00,2024-02-01 07:27:50,Cuve fixe (maker),3275,91.00,Type 2 - 100 litres - Inox,Chiloe,3f341047d2943e9ea428794c41cf5f1d,147,En service,0.00,af568513c0fbdee71951fe7123c3425b,3001,0.00
2022-F.W-00039,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 17:26:11,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Léa,d3a06e400a27a7b8b07d826bc887b5ec,18,En service,58.81,a1b7da8cde08c9dc94c2ef1525b5610b,3001,70.86
